package_path,source_path,note
aggregate/retrieval_pressure_and_paraphrase/false_positive_results.csv,artifacts/icde2027_supplemental/results/false_positive_results.csv,Benign instruction-like downstream slice source
aggregate/retrieval_pressure_and_paraphrase/icde_supplemental_summary.json,artifacts/icde2027_supplemental/results/icde_supplemental_summary.json,Supplemental aggregation status and caveats
aggregate/mechanism_and_ablation/baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json,results/baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json,MiniMax no-defense vs FlowFence matrix
aggregate/mechanism_and_ablation/ablation_agentpoison_fullreact_minimax27_quarantine_only_vs_actioncanon_summary.json,results/ablation_agentpoison_fullreact_minimax27_quarantine_only_vs_actioncanon_summary.json,Quarantine-only vs action-canonicalization ablation
aggregate/mechanism_and_ablation/baseline_agentpoison_fullreact_minimax27_rewrite_only_weak_comparator_summary.json,results/baseline_agentpoison_fullreact_minimax27_rewrite_only_weak_comparator_summary.json,Safe-view rewrite comparator
aggregate/mechanism_and_ablation/baseline_agentpoison_fullreact_minimax27_static_keyword_filter_weak_comparator_summary.json,results/baseline_agentpoison_fullreact_minimax27_static_keyword_filter_weak_comparator_summary.json,Known-trigger static keyword comparator
aggregate/mechanism_and_ablation/baseline_agentpoison_fullreact_minimax27_heldout_instruction_matrix_summary.json,results/baseline_agentpoison_fullreact_minimax27_heldout_instruction_matrix_summary.json,Held-out paraphrase stress slice
aggregate/mechanism_and_ablation/overhead_agentpoison_fullreact_minimax27_same_axis_proxy_summary.json,results/overhead_agentpoison_fullreact_minimax27_same_axis_proxy_summary.json,Earlier overhead proxy summary
aggregate/mechanism_and_ablation/overhead_agentpoison_fullreact_minimax27_same_axis_measured_summary.json,results/overhead_agentpoison_fullreact_minimax27_same_axis_measured_summary.json,Measured overhead slice summary
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/metrics.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/status.txt,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/metrics.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/status.txt,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/metrics.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/status.txt,results/emnlp_p0_cross_provider_kimi25_flowfence_lite_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/metrics.json,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/status.txt,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/metrics.json,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/status.txt,results/emnlp_p0_cross_provider_kimi25_no_defense_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_v1/metrics.json,results/emnlp_p0_cross_provider_kimi25_no_defense_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_v1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_no_defense_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_no_defense_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_no_defense_v1/status.txt,results/emnlp_p0_cross_provider_kimi25_no_defense_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/metrics.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/status.txt,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/metrics.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/status.txt,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/metrics.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/case_results.jsonl,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/status.txt,results/emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/metrics.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/status.txt,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/metrics.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/status.txt,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/metrics.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/status.txt,results/emnlp_p0_cross_provider_qwen36_flowfence_lite_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_flowfence_lite_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/metrics.json,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/status.txt,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/metrics.json,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/status.txt,results/emnlp_p0_cross_provider_qwen36_no_defense_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_v1/metrics.json,results/emnlp_p0_cross_provider_qwen36_no_defense_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_v1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_no_defense_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_no_defense_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_no_defense_v1/status.txt,results/emnlp_p0_cross_provider_qwen36_no_defense_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_no_defense_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/metrics.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/status.txt,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/metrics.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/status.txt,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/metrics.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/metrics.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/case_results.jsonl,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/case_results.jsonl,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/mismatch_notes.json,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1
run_level/p0_cross_provider/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/status.txt,results/emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1/status.txt,Run-level case summary for emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/metrics.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/metrics.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/case_results.jsonl,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/mismatch_notes.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/status.txt,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1/status.txt,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/metrics.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/metrics.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/case_results.jsonl,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/mismatch_notes.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/mismatch_notes.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/status.txt,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2/status.txt,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/metrics.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/metrics.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/case_results.jsonl,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/case_results.jsonl,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/mismatch_notes.json,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/mismatch_notes.json,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/status.txt,results/emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1/status.txt,Run-level case summary for emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/metrics.json,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/metrics.json,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/case_results.jsonl,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/case_results.jsonl,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/mismatch_notes.json,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/mismatch_notes.json,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/status.txt,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat1/status.txt,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat1
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat2/metrics.json,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat2/metrics.json,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat2
run_level/p0_same_axis_comparators/emnlp_p0_same_axis_prompt_quoting_isolation_repeat2/case_results.jsonl,results/emnlp_p0_same_axis_prompt_quoting_isolation_repeat2/case_results.jsonl,Run-level case summary for emnlp_p0_same_axis_prompt_quoting_isolation_repeat2
