entry,type,sources,exists
baseline_agentpoison_fullreact_minimax27_triggerquery_static_keyword_filter_v1,directory,EMNLP cross-provider runs CSV | EMNLP static keyword comparator summary,true
emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_flowfence_lite_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_flowfence_lite_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_no_defense_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_no_defense_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_no_defense_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_static_keyword_filter_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_kimi25_static_keyword_filter_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_flowfence_lite_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_flowfence_lite_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_no_defense_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_no_defense_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_no_defense_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_static_keyword_filter_repeat2,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_cross_provider_qwen36_static_keyword_filter_v1,directory,EMNLP cross-provider runs CSV,true
emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat1,directory,EMNLP same-axis comparators,true
emnlp_p0_same_axis_paraphrase_aware_keyword_filter_repeat2,directory,EMNLP same-axis comparators,true
emnlp_p0_same_axis_paraphrase_aware_keyword_filter_v1,directory,EMNLP same-axis comparators,true
emnlp_p0_same_axis_prompt_quoting_isolation_repeat1,directory,EMNLP same-axis comparators,true
emnlp_p0_same_axis_prompt_quoting_isolation_repeat2,directory,EMNLP same-axis comparators,true
emnlp_p0_same_axis_prompt_quoting_isolation_v1,directory,EMNLP same-axis comparators,true
emnlp_p1_adaptive_factual_misinformation_flowfence_lite_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_factual_misinformation_no_defense_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_factual_misinformation_static_keyword_filter_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_mixed_language_flowfence_lite_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_mixed_language_no_defense_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_mixed_language_static_keyword_filter_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_soft_preference_flowfence_lite_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_soft_preference_no_defense_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
emnlp_p1_adaptive_soft_preference_static_keyword_filter_kimi25_v1,directory,EMNLP adaptive Kimi pilot,true
evidence_index,directory,existing evidence index,true
icde_false_positive_benign_instruction_flowfence_lite_repeat1,directory,EMNLP false-positive runs CSV,true
icde_false_positive_benign_instruction_flowfence_lite_repeat2,directory,EMNLP false-positive runs CSV,true
icde_false_positive_benign_instruction_flowfence_lite_v1,directory,EMNLP false-positive runs CSV,true
icde_false_positive_benign_instruction_no_defense_repeat1,directory,EMNLP false-positive runs CSV,true
icde_false_positive_benign_instruction_no_defense_repeat2,directory,EMNLP false-positive runs CSV,true
icde_false_positive_benign_instruction_no_defense_v1,directory,EMNLP false-positive runs CSV,true
icde_paraphrase_direct_instruction_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_direct_instruction_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_factual_note_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_indirect_preference_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_policy_style_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_system_imitation_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_flowfence_lite_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_flowfence_lite_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_flowfence_lite_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_no_defense_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_no_defense_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_no_defense_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_static_keyword_filter_repeat1,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_static_keyword_filter_repeat2,directory,EMNLP paraphrase stress runs CSV,true
icde_paraphrase_tool_suggestion_static_keyword_filter_v1,directory,EMNLP paraphrase stress runs CSV,true
icde_pressure_knn1_flowfence_lite_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_flowfence_lite_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_flowfence_lite_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_no_defense_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_no_defense_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_no_defense_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_static_keyword_filter_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_static_keyword_filter_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn1_static_keyword_filter_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_flowfence_lite_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_flowfence_lite_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_flowfence_lite_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_no_defense_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_no_defense_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_no_defense_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_static_keyword_filter_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_static_keyword_filter_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn3_static_keyword_filter_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_flowfence_lite_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_flowfence_lite_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_flowfence_lite_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_no_defense_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_no_defense_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_no_defense_v1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_static_keyword_filter_repeat1,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_static_keyword_filter_repeat2,directory,EMNLP retrieval-pressure runs CSV,true
icde_pressure_knn5_static_keyword_filter_v1,directory,EMNLP retrieval-pressure runs CSV,true
method_flowfence_lite_fullreact_minimax27_triggerquery_heldout_instruction_quarantine_actioncanon_repeat1,directory,EMNLP held-out instruction summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_heldout_instruction_quarantine_actioncanon_repeat2,directory,EMNLP held-out instruction summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_heldout_instruction_quarantine_actioncanon_v2,directory,EMNLP held-out instruction summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_actioncanon_repeat1,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_actioncanon_repeat2,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_actioncanon_v1,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_only_repeat1,directory,EMNLP quarantine/actioncanon ablation summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_only_repeat2,directory,EMNLP quarantine/actioncanon ablation summary,true
method_flowfence_lite_fullreact_minimax27_triggerquery_quarantine_only_v1,directory,EMNLP quarantine/actioncanon ablation summary,true
overhead_agentpoison_fullreact_minimax27_same_axis_measured_summary.json,file,paper evidence summary,true
overhead_agentpoison_fullreact_minimax27_same_axis_proxy_summary.json,file,paper evidence summary,true
overhead_agentpoison_fullreact_minimax27_triggerquery_nodefense_v1,directory,EMNLP measured overhead roots,true
overhead_agentpoison_fullreact_minimax27_triggerquery_quarantine_actioncanon_v1,directory,EMNLP measured overhead roots,true
